CMD                             PID
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42567
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   42842
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
/opt/microsoft/msedge/msedg   51922
[kworker/u17:0+i915_flip]     67661
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
/opt/microsoft/msedge/msedg   69949
